Socket,Algorithm,Start Time,End Time,Execution Time,Power,Current,Voltage,Memory,CPU Usage,Read Bytes,Write Bytes,Signature,Num Files,Size,Avg File Size,CPU Count,Total RAM,Available RAM,System CPU,System Memory,Time Per File,Throughput
rpi4,MAYO-1,2026-01-15 17:19:09.936008,2026-01-15 17:19:16.171297,6.2352696389999664,3.791,0.0475,116.06200000000001,320.0102996826172,99.75510860180844,325059001,0,2270,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.0,1.2448734593999915,49.80425884401373
rpi4,MAYO-2,2026-01-15 17:19:17.183590,2026-01-15 17:19:23.410956,6.227347047999956,3.424666666666667,0.043333333333333335,115.96533333333332,320.0162887573242,99.88201961536215,325059001,0,930,5,310.0,62.0,4,7812.31640625,7118.9453125,0.2,9.0,1.243503759000009,49.859117474529114
rpi4,MAYO-3,2026-01-15 17:19:24.423331,2026-01-15 17:19:30.736796,6.313446563999946,3.8659999999999997,0.05,116.02,320.01372718811035,99.47023288055296,325059001,0,3405,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.0,1.2590647219999709,49.2429014304488
rpi4,MAYO-5,2026-01-15 17:19:31.749150,2026-01-15 17:19:38.174724,6.425556234999931,3.5163333333333333,0.04466666666666667,115.84933333333333,320.01917266845703,99.91352912033258,325059001,0,4820,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.0,1.27963542760001,48.45130000525433
rpi4,SNOVA_24_5_4,2026-01-15 17:19:39.187076,2026-01-15 17:19:45.410213,6.223118577000037,3.787,0.0485,115.90450000000001,320.0090217590332,99.789196094567,325059001,0,1240,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.0,1.241572252999981,49.93668298416858
rpi4,SNOVA_56_25_2,2026-01-15 17:19:46.422618,2026-01-15 17:19:52.773855,6.351217373000054,3.779,0.048,115.7555,320.0645446777344,99.82338231647118,325059001,0,890,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.0,1.2636550548000287,49.06402246759611
rpi4,SNOVA_60_10_4,2026-01-15 17:19:53.786388,2026-01-15 17:20:00.270948,6.484541989000036,3.972,0.0465,115.548,320.0231628417969,99.9299566722257,325059001,0,2880,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.0,1.2895308243999808,48.07950211570059
rpi4,OV-Is,2026-01-15 17:20:01.283354,2026-01-15 17:20:07.510546,6.227172472999882,3.976,0.05,115.507,321.12546157836914,99.72423322022446,325059001,0,480,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.0,1.2386070344000473,50.056231135512135
rpi4,OV-III,2026-01-15 17:20:08.523104,2026-01-15 17:20:14.775704,6.252581943999985,3.546333333333333,0.044333333333333336,115.728,323.3402633666992,99.958705955026,325059002,0,1000,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.1,1.2381703391999963,50.07388566589254
rpi4,OV-V,2026-01-15 17:20:15.788136,2026-01-15 17:20:22.211861,6.423707108999906,3.758,0.048,115.706,327.80409240722656,99.94229019260985,325059002,0,1300,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.0,1.2395627171999422,50.01763859117373
